part_num,name,dimensions
28192,Slope 45° 2 x 1 with 2/3 Inverted Cutout and no stud,2 x 1
2832,"Brick Special 2 x 8 x 5/6 with No Top Studs, and Channel on Ends, and Stud Holes on Sides",2 x 8 x 5/6
2833,Brick Special 1 x 8 x 5/6 with No Top Studs and Channel on Ends,1 x 8 x 5/6
28598,Cone 2 x 2 x 3 Jagged,2 x 2 x 3
2875,Slope 45° 2 x 6 x 2/3,2 x 6 x 2/3
2876,Wedge Sloped 45° 6 x 6 Double / 33° [Train Roof End],6 x 6
2877,Brick Special 1 x 2 with Grill,1 x 2
29096,Cone Half 10 x 5 x 6 [Plain],10 x 5 x 6
29115,Wedge Sloped Inverted 6 x 6 x 1 Triple,6 x 6 x 1
29119,Slope Curved 2 x 1 with Stud Notch Right,2 x 1
29120,Slope Curved 2 x 1 with Stud Notch Left,2 x 1
2921,Brick Special 1 x 1 with Handle,1 x 1
2926,Plate Special 1 x 4 with Wheels Holder,1 x 4 x 1/3
2937,Slope 55° 1 x 6 x 5 with Bottom Stud Holders,1 x 6 x 5
29540,"Brick, Soft 2 x 2",2 x 2
29541,"Brick, Soft 2 x 4",2 x 4
30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,2 x 2
3001,Brick 2 x 4,2 x 4
3001d,Brick 2 x 4 with Old Logo on Studs and without Cross Supports,2 x 4
3001e,Brick 2 x 4 with Slotted Bottom Tubes,2 x 4
3001mi,Minitalia Brick 2 x 4 with Bottom Tubes,2 x 4
3002,Brick 2 x 3,2 x 3
3002d,"Brick 2 x 3 without Bottom Tubes, Slotted (with 1 slot)",2 x 3
3002e,Brick 2 x 3 with 2 Slots on Short Sides,2 x 3
3002f,Brick 2 x 3 with 2 Slots Right,2 x 3
3002g,Brick 2 x 3 with 2 Slots Left,2 x 3
3003,Brick 2 x 2,2 x 2
30033,Plate Special 2 x 2 with Bar Frame Octagonal,2 x 2 x 1/3
3003d,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, opposite)",2 x 2
3003e,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, right)",2 x 2
3003mi,Minitalia Brick 2 x 2 with Bottom Tube,2 x 2
3004,Brick 1 x 2,1 x 2
30043,Plate Special 1 x 4 with Arm Down,1 x 4 x 1/3
3005,Brick 1 x 1,1 x 1
3006,Brick 2 x 10,2 x 10
30062,Plate Special 6 x 6 Octagonal with Opening,6 x 6 x 1/3
3007,Brick 2 x 8,2 x 8
30072,Brick 12 x 24,12 x 24
30075,Brick Curved 2 x 6 x 3 Triple Curved Bottom,2 x 6 x 3
3007d,"Brick 2 x 8 without Bottom Tubes, 1 End Slot",2 x 8
3007e,"Brick 2 x 8 without Bottom Tubes, 2 End Slots",2 x 8
3007mi,Minitalia Brick 2 x 8 with Bottom X Supports,2 x 8
3008,Brick 1 x 8,1 x 8
3009,Brick 1 x 6,1 x 6
30094,Plate Special 2 x 2 with Bar Frame Square,2 x 2 x 1/3
30099,Brick Arch 1 x 5 x 4 Inverted,1 x 5 x 4
3010,Brick 1 x 4,1 x 4
30136,Brick Special 1 x 2 Palisade [aka Log],1 x 2
30137,Brick Special 1 x 4 Palisade [aka Log],1 x 4
30144,Brick 2 x 4 x 3,2 x 4 x 3
30145,Brick 2 x 2 x 3,2 x 2 x 3
30151,Brick Round 2 x 2 x 1 2/3 Dome Top [Undetermined Stud],2 x 2 x 1
30157,Plate Special 2 x 4 with Pins,2 x 4 x 1/3
30165,Brick Curved 2 x 2 with Two Top Studs,2 x 2
30180,Slope 45° 10 x 2 x 2 Double,10 x 2 x 2
30181,Wedge 4 x 10 with Cut Corner,4 x 10
30182,Slope 45° 4 x 4,4 x 4
30183,Slope Inverted 45° 6 x 4 Double with Recessed Center,6 x 4
3020,Plate 2 x 4,2 x 4 x 1/3
30201,Panel 10 x 10 x 2 2/3 Quarter Saucer Base,10 x 10 x 2
30208,Dome Hemisphere 4 x 4 Multifaceted,4 x 4
3021,Plate 2 x 3,2 x 3 x 1/3
3022,Plate 2 x 2,2 x 2 x 1/3
3023,Plate 1 x 2,1 x 2 x 1/3
30236,Brick Special 1 x 2 with Handle,1 x 2
30237,Brick Special 1 x 2 with Vertical Clip [Thick U Clip],1 x 2
3024,Plate 1 x 1,1 x 1 x 1/3
30249,Slope 55° 1 x 6 x 5,1 x 6 x 5
30256,Tile Special 2 x 2 with Bar and Stud,2 x 2 x 1/3
30257,Brick Arch 1 x 6 x 6,1 x 6 x 6
3026,Plate 6 x 24,6 x 24 x 1/3
3027,Plate 6 x 16,6 x 16 x 1/3
30272,Brick Arch 2 x 12 x 6 with Grooves,2 x 12 x 6
30274,Brick Special 2 x 3 x 3 with Cutout and Lion Head [Hollow Studs],2 x 3 x 3
3028,Plate 6 x 12,6 x 12 x 1/3
3029,Plate 4 x 12,4 x 12 x 1/3
30296,Brick Arch 2 x 14 x 2 1/3,2 x 14 x 2
