Quantities,PartID
3,4032
1,60474
2,30357
2,6003
4,15070
4,48336
3,4274
2,87079
2,20482
4,65886
2,99781
1,3899
10985-1,https://rebrickable.com/sets/10985-1/wind-turbine-and-electric-car/?inventory=1
1,12592
1,58498
1,6510
2,3437
1,84195
1,16265
1,18115
1,87084
1,22881
1,98233
1,36744
1,76371
1,35499
1,57888
1,35130
122332-1,https://rebrickable.com/sets/122332-1/wildlife-guard-and-raptor/?inventory=1
1,99780
2,80324
1,60169
2,2540
1,37829
1,42876
1,15068
3,54657
2,3705
82,3484
37,39262
103,24866
8,87994
7,37762
7,33078
3,11610
2,2417
8,15469
41,32607
10,1566
10,18674
3,32072
13,3626
48,31990
2,37195
4,78258
2,26007
15,6148
3,11477
2,67811
8,32016
24,42195
32,2528
5,19119
17,6141
5,1941
1,96874
12,65578
2,64951
15,59900
21,24855
82,85861
18,4032
8,35480
12,50450
50,59443
2,32192
3,64727
2,30374
2,23948
10,4733
3,18654
6,15535
61,32062
12,68888
2,98284
2,63965
24,3062
2,58176
25,4599
8,1686
2,60474
13,4519
16,15712
16,49668
EG00114-1,https://rebrickable.com/sets/EG00114-1/wig-stand-modular/?inventory=1
1,3004
2,3010
1,3007
10,59900
1,60596
6,15332
3,62810
1,17630
4,3024
6,41740
4,63864
1,26603
1,3857
1,3626
4,3666
1,2420
3,3036
4,87580
4,3070
7,3069
6,4162
21,87079
2,98138
1,64807
1,23186
1,95226
1,3020
3,6141
1,2412
3,33320
2,3031
2,3062
3,3022
2,3021
6,15573
7,15712
4,15533
1,69962
4,2453
10,3710
2,3460
1,60616
8,87552
2,60581
1,28621
7,93160
1,4740
1,11062
31133-1,https://rebrickable.com/sets/31133-1/white-rabbit/?inventory=1
5,59900
6,6141
3,22388
12,11477
3,98138
2,63965
5,3021
4,2654
4,24201
5,25269
2,11203
8,87087
7,3024
10,3022
6,14417
2,22890
1,57909
1,17114
3,27448
5,26047
3,35480
2,39739
4,32607
3,65578
6,14704
2,14418
3,35464
1,30374
3,4733
2,53451
1,3942
13,3023
8,3710
4,99781
4,11211
2,30414
4,3623
3,3020
4,18970
5,99780
3,44728
2,3001
8,6005
2,6060
4,6091
1,37352
2,65734
4,88293
8,76797
5,30136
2,86876
2,86500
2,3666
1,2445
2,3795
2,4032
2,60474
2,11213
1,15573
1,11476
3,87580
2,99206
1,3298
4,28192
2,15068
1,93606
3,67696
2,24246
7,1748
2,14769
6,66857
2,15712
4,47753
2,42862
2,48165
2,4081
952310-1,https://rebrickable.com/sets/952310-1/wheel-loader/?inventory=1
1,65380
4,87697
1,44567
1,3020
2,67687
1,3829
2,15672
1,2432
4,6014
30648-1,https://rebrickable.com/sets/30648-1/whale/?inventory=1
2,6510
2,98252
1,3437
1,3437
1,98224
1,98223
1,40666
10989-1,https://rebrickable.com/sets/10989-1/water-park/?inventory=1
1,79784
1,61649
3,3437
3,3437
1,72134
1,65245
1,10270
1,35110
1,10389
1,10450
1,31059
1,90265
1,29303
1,82562
1,79783
43230-1,https://rebrickable.com/sets/43230-1/walt-disney-tribute-camera/?inventory=1
1,36840
6,79389
9,73825
5,99780
12,44728
11,99207
3,41682
2,14716
10,3004
1,3622
5,3010
3,3009
3,3001
1,3659
1,92950
8,85080
6,48092
3,32952
2,22885
1,4742
3,60596
1,11610
2,30541
1,15207
1,14718
29,3024
1,4477
2,60479
33,3023
1,3623
23,3710
12,3666
9,3460
1,3832
2,91988
2,2420
4,3020
8,3034
3,11212
2,3033
7,4032
5,2654
2,11833
4,79491
12,68568
1,79387
2,22888
1,48336
10,15573
1,60470
7,33909
1,4304
2,6177
8,54200
4,85984
3,3039
4,3038
4,15068
1,32803
3,16091
10,32062
11,3705
2,18651
3,32013
6,32015
2,32184
2,60483
6,32249
11,6541
7,3700
6,32064
6,2723
1,18575
1,32498
2,66906
11,61332
1,69984
1,47455
6,3069
6,63864
8,2431
15,6636
28,27925
11,3068
9,26603
8,87079
3,69729
8,79393
12,35787
5,25269
7,20482
4,1748
1,61485
1,87620
6,43093
5,65826
1,99781
1,80431
2,90258
1,1927
1,3022
1,3036
1,41539
10,35480
2,14417
2,41740
1,11214
1,42003
1,85943
1,48170
1,39793
2,65487
6,10197
2,3709
1,42529
8,4162
7,15535
2,49307
1,4079
1,10472
6,87087
3,3795
1,65509
1,6587
2,30136
2,35809
4,98375
1,10371
4,37352
1,25214
2,73111
1,68325
1,86876
2,43898
2,54672
2,78329
15,6141
1,11213
2,74611
3,11458
5,18674
1,60219
7,4519
1,32073
3,60485
6,59443
8,41677
2,32523
6,6632
4,32316
10,32123
1,2393
2,3673
2,51138
2,4185
3,3070
16,98138
4,14769
1,67095
1,60474
3,3003
25,73230
2,1126
1,96874
8,3941
1,3706
1,42135
8,89678
1,3262
2,64644
1,3937
1,6134
1,24316
3,15462
1,62462
2,39888
2,3957
3,57895
1,10273
3,78258
2,11090
8,27507
1,3396
31135-1,https://rebrickable.com/sets/31135-1/vintage-motorcycle/?inventory=1
3,23443
4,37762
1,3021
4,85861
2,60897
1,78256
2,85984
5,32062
2,3706
4,32013
2,32192
2,32291
4,32449
2,85940
5,61332
2,32124
1,3069
2,78258
6,3024
1,3795
4,4032
1,35480
5,15573
2,87083
1,6536
1,85943
2,27940
1,3262
2,3022
1,15068
2,66857
2,98138
3,48729
2,99781
2,93274
2,25214
2,4070
1,95343
1,3023
2,78329
2,44861
1,48336
2,4697
1,32803
2,59443
4,32000
5,3713
5,32123
2,32198
2,4185
1,15535
2,65834
2,6091
2,28192
1,99563
1,3749
5,32002
1,2654
3,4274
2,4519
30644-1,https://rebrickable.com/sets/30644-1/vintage-car/?inventory=1
2,36841
2,2420
1,3020
4,33909
2,11477
2,50950
4,50951
2,60212
1,3004
2,87079
4,93594
2,30374
1,99780
2,3666
2,4081
2,60470
2,67687
1,2412
4,6141
1,61252
5,98138
2,3010
2,2877
1,4865
1,3023
2,3460
1,15573
1,4449
2,3065
3,30153
43227-1,https://rebrickable.com/sets/43227-1/villain-icons/?inventory=1
1,73767
3,11090
12,36840
16,79389
10,99780
10,99207
3,93274
3,3956
3,41682
2,14716
7,6112
30,3004
9,3245
35,3622
8,2357
10,3002
14,3001
4,2456
3,3007
4,15254
8,49307
6,6091
1,79756
4,2921
17,87087
10,11211
4,22885
3,60596
1,33078
1,57895
2,1927
59,3024
2,86996
22,4477
90,3023
22,3623
16,3666
20,3022
34,2420
20,3021
16,3020
12,3795
2,79194
1,60474
